ref_name,isolate_name,drug_name,concentration_cmp,concentration,concentration_unit,concentration_unknown
Yoshinaga15,ivsel:Yoshinaga15|CAB|exp:2|p~4,CAB,=,6.4,nM,False
Yoshinaga15,ivsel:Yoshinaga15|CAB|exp:2|p~8,CAB,=,6.4,nM,False
Yoshinaga15,ivsel:Yoshinaga15|CAB|exp:2|p~16,CAB,=,6.4,nM,False
Yoshinaga15,ivsel:Yoshinaga15|CAB|exp:2|p~20,CAB,=,6.4,nM,False
Yoshinaga15,ivsel:Yoshinaga15|CAB|exp:2|p~24,CAB,=,6.4,nM,False
Yoshinaga15,ivsel:Yoshinaga15|CAB|exp:2|p~28,CAB,=,6.4,nM,False
Yoshinaga15,ivsel:Yoshinaga15|CAB|exp:2|p~32,CAB,=,6.4,nM,False
Yoshinaga15,ivsel:Yoshinaga15|CAB|exp:3a|p~8,CAB,=,6.4,nM,False
Yoshinaga15,ivsel:Yoshinaga15|CAB|exp:3a|p~12,CAB,=,6.4,nM,False
Yoshinaga15,ivsel:Yoshinaga15|CAB|exp:3a|p~16,CAB,=,6.4,nM,False
Yoshinaga15,ivsel:Yoshinaga15|CAB|exp:3a|p~20,CAB,=,6.4,nM,False
Yoshinaga15,ivsel:Yoshinaga15|CAB|exp:3a|p~24,CAB,=,6.4,nM,False
Yoshinaga15,ivsel:Yoshinaga15|CAB|exp:3a|p~28,CAB,=,6.4,nM,False
Yoshinaga15,ivsel:Yoshinaga15|CAB|exp:3a|p~32,CAB,=,6.4,nM,False
Yoshinaga15,ivsel:Yoshinaga15|CAB|exp:3b|p~4,CAB,=,1.28,nM,False
Yoshinaga15,ivsel:Yoshinaga15|CAB|exp:3b|p~8,CAB,=,1.28,nM,False
Yoshinaga15,ivsel:Yoshinaga15|CAB|exp:3b|p~12,CAB,=,1.28,nM,False
Yoshinaga15,ivsel:Yoshinaga15|CAB|exp:3b|p~16,CAB,=,1.28,nM,False
Yoshinaga15,ivsel:Yoshinaga15|CAB|exp:3b|p~20,CAB,=,1.28,nM,False
Yoshinaga15,ivsel:Yoshinaga15|CAB|exp:3b|p~24,CAB,=,1.28,nM,False
Yoshinaga15,ivsel:Yoshinaga15|CAB|exp:3b|p~28,CAB,=,1.28,nM,False
Yoshinaga15,ivsel:Yoshinaga15|CAB|exp:3b|p~32,CAB,=,1.28,nM,False
Yoshinaga15,ivsel:Yoshinaga15|CAB|exp:4a|p~8,CAB,=,6.4,nM,False
Yoshinaga15,ivsel:Yoshinaga15|CAB|exp:4a|p~12,CAB,=,6.4,nM,False
Yoshinaga15,ivsel:Yoshinaga15|CAB|exp:4a|p~16,CAB,=,6.4,nM,False
Yoshinaga15,ivsel:Yoshinaga15|CAB|exp:4a|p~20,CAB,=,6.4,nM,False
Yoshinaga15,ivsel:Yoshinaga15|CAB|exp:4a|p~24,CAB,=,6.4,nM,False
Yoshinaga15,ivsel:Yoshinaga15|CAB|exp:4a|p~28,CAB,=,6.4,nM,False
Yoshinaga15,ivsel:Yoshinaga15|CAB|exp:4a|p~32,CAB,=,6.4,nM,False
Yoshinaga15,ivsel:Yoshinaga15|CAB|exp:4b|p~4,CAB,=,1.28,nM,False
Yoshinaga15,ivsel:Yoshinaga15|CAB|exp:4b|p~8,CAB,=,1.28,nM,False
Yoshinaga15,ivsel:Yoshinaga15|CAB|exp:4b|p~12,CAB,=,1.28,nM,False
Yoshinaga15,ivsel:Yoshinaga15|CAB|exp:4b|p~16,CAB,=,1.28,nM,False
Yoshinaga15,ivsel:Yoshinaga15|CAB|exp:4b|p~20,CAB,=,1.28,nM,False
Yoshinaga15,ivsel:Yoshinaga15|CAB|exp:4b|p~24,CAB,=,1.28,nM,False
Yoshinaga15,ivsel:Yoshinaga15|CAB|exp:4b|p~28,CAB,=,1.28,nM,False
Yoshinaga15,ivsel:Yoshinaga15|CAB|exp:4b|p~32,CAB,=,1.28,nM,False
Yoshinaga15,ivsel:Yoshinaga15|CAB|exp:4c|p~4,CAB,=,0.256,nM,False
Yoshinaga15,ivsel:Yoshinaga15|CAB|exp:4c|p~8,CAB,=,0.256,nM,False
Yoshinaga15,ivsel:Yoshinaga15|CAB|exp:4c|p~12,CAB,=,0.256,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:1a|p~20,RAL,=,4000.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:1a|p~24,RAL,=,4000.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:1b|p~16,RAL,=,800.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:1b|p~20,RAL,=,800.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:1b|p~24,RAL,=,800.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:1c|p~8,RAL,=,160.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:1c|p~12,RAL,=,160.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:1c|p~16,RAL,=,160.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:1c|p~20,RAL,=,160.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:1c|p~24,RAL,=,160.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:1d|p~4,RAL,=,32.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:1d|p~8,RAL,=,32.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:1d|p~12,RAL,=,32.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:1d|p~16,RAL,=,32.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:1d|p~20,RAL,=,32.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:1d|p~24,RAL,=,32.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:2a|p~20,RAL,=,4000.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:2a|p~24,RAL,=,4000.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:2b|p~20,RAL,=,800.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:2b|p~24,RAL,=,800.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:2c|p~8,RAL,=,160.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:2c|p~12,RAL,=,160.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:2c|p~16,RAL,=,160.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:2c|p~20,RAL,=,160.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:2c|p~24,RAL,=,160.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:2d|p~4,RAL,=,32.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:2d|p~8,RAL,=,32.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:2d|p~12,RAL,=,32.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:2d|p~16,RAL,=,32.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:2d|p~20,RAL,=,32.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:2d|p~24,RAL,=,32.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:2e|p~4,RAL,=,6.4,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:2e|p~8,RAL,=,6.4,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:2e|p~12,RAL,=,6.4,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:2e|p~16,RAL,=,6.4,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:2e|p~20,RAL,=,6.4,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:3a|p~24,RAL,=,800.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:3b|p~12,RAL,=,160.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:3b|p~16,RAL,=,160.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:3b|p~20,RAL,=,160.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:3b|p~24,RAL,=,160.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:3c|p~8,RAL,=,32.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:3c|p~12,RAL,=,32.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:3c|p~16,RAL,=,32.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:3c|p~20,RAL,=,32.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:3c|p~24,RAL,=,32.0,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:3d|p~4,RAL,=,6.4,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:3d|p~8,RAL,=,6.4,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:3d|p~12,RAL,=,6.4,nM,False
Yoshinaga15,ivsel:Yoshinaga15|RAL|exp:3d|p~16,RAL,=,6.4,nM,False
