ref_name,isolate_name,drug_name,concentration_cmp,concentration,concentration_unit,concentration_unknown
Oliveira18,ivsel:Oliveira18|Strain 5326|DTG|exp:1|8w,DTG,=,0.005,µm,False
Oliveira18,ivsel:Oliveira18|Strain 5326|DTG|exp:1|16w,DTG,=,0.01,µm,False
Oliveira18,ivsel:Oliveira18|Strain 5326|DTG|exp:1|24-30w,DTG,=,0.018,µm,False
Oliveira18,ivsel:Oliveira18|Strain 5326|DTG|exp:1|43-46w,DTG,=,0.025,µm,False
Oliveira18,ivsel:Oliveira18|96USSN20|DTG|exp:1|8w,DTG,=,0.005,µm,False
Oliveira18,ivsel:Oliveira18|96USSN20|DTG|exp:1|16w,DTG,=,0.025,µm,False
Oliveira18,ivsel:Oliveira18|96USSN20|DTG|exp:1|24-30w,DTG,=,0.025,µm,False
Oliveira18,ivsel:Oliveira18|96USSN20|DTG|exp:1|43-46w,DTG,=,0.05,µm,False
Oliveira18,ivsel:Oliveira18|Strain 5326|BIC|exp:1|8w,BIC,=,0.005,µm,False
Oliveira18,ivsel:Oliveira18|Strain 5326|BIC|exp:1|16w,BIC,=,0.01,µm,False
Oliveira18,ivsel:Oliveira18|Strain 5326|BIC|exp:1|24-30w,BIC,=,0.025,µm,False
Oliveira18,ivsel:Oliveira18|Strain 5326|BIC|exp:1|43-46w,BIC,=,0.025,µm,False
Oliveira18,ivsel:Oliveira18|96USSN20|BIC|exp:1|8w,BIC,=,0.005,µm,False
Oliveira18,ivsel:Oliveira18|96USSN20|BIC|exp:1|16w,BIC,=,0.025,µm,False
Oliveira18,ivsel:Oliveira18|96USSN20|BIC|exp:1|24-30w,BIC,=,0.025,µm,False
Oliveira18,ivsel:Oliveira18|96USSN20|BIC|exp:1|43-46w,BIC,=,0.025,µm,False
Oliveira18,ivsel:Oliveira18|Strain 5326|CAB|exp:1|8w,CAB,=,0.003,µm,False
Oliveira18,ivsel:Oliveira18|Strain 5326|CAB|exp:1|16w,CAB,=,0.01,µm,False
Oliveira18,ivsel:Oliveira18|Strain 5326|CAB|exp:1|24-30w,CAB,=,0.25,µm,False
Oliveira18,ivsel:Oliveira18|Strain 5326|CAB|exp:1|43-46w,CAB,=,1.0,µm,False
Oliveira18,ivsel:Oliveira18|96USSN20|CAB|exp:1|8w,CAB,=,0.005,µm,False
Oliveira18,ivsel:Oliveira18|96USSN20|CAB|exp:1|16w,CAB,=,0.01,µm,False
Oliveira18,ivsel:Oliveira18|96USSN20|CAB|exp:1|24-30w,CAB,=,0.1,µm,False
