ref_name,isolate_name,drug_name,concentration_cmp,concentration,concentration_unit,concentration_unknown
Wu15,ivsel:Wu15|NVP|exp:1|p10,NVP,=,0.16,µM,False
Wu15,ivsel:Wu15|NVP|exp:1a|p20,NVP,=,8.0,µM,False
Wu15,ivsel:Wu15|NVP|exp:1a|p25,NVP,=,32.0,µM,False
Wu15,ivsel:Wu15|NVP|exp:1a1|p35,NVP,=,128.0,µM,False
Wu15,ivsel:Wu15|NVP|exp:1a2|p35,NVP,=,128.0,µM,False
Wu15,ivsel:Wu15|NVP|exp:1b|p25,NVP,=,32.0,µM,False
Wu15,ivsel:Wu15|NVP|exp:1b|p40,NVP,=,128.0,µM,False
Wu15,ivsel:Wu15|NVP|exp:1c|p20,NVP,=,8.0,µM,False
Wu15,ivsel:Wu15|NVP|exp:1c|p25,NVP,=,32.0,µM,False
Wu15,ivsel:Wu15|NVP|exp:1c|p35,NVP,=,128.0,µM,False
Wu15,ivsel:Wu15|NVP|exp:1d|p20,NVP,=,8.0,µM,False
Wu15,ivsel:Wu15|NVP|exp:1d|p30,NVP,=,128.0,µM,False
Wu15,ivsel:Wu15|NVP|exp:1d|p35,NVP,=,128.0,µM,False
Wu15,ivsel:Wu15|NVP|exp:2|p10,NVP,=,0.16,µM,False
Wu15,ivsel:Wu15|NVP|exp:2a|p20,NVP,=,8.0,µM,False
Wu15,ivsel:Wu15|NVP|exp:2a|p25,NVP,=,32.0,µM,False
Wu15,ivsel:Wu15|NVP|exp:2a|p30,NVP,=,128.0,µM,False
Wu15,ivsel:Wu15|NVP|exp:2a|p35,NVP,=,128.0,µM,False
Wu15,ivsel:Wu15|NVP|exp:2b|p20,NVP,=,8.0,µM,False
Wu15,ivsel:Wu15|NVP|exp:2b|p25,NVP,=,32.0,µM,False
Wu15,ivsel:Wu15|NVP|exp:2b|p30,NVP,=,128.0,µM,False
Wu15,ivsel:Wu15|NVP|exp:2b|p35,NVP,=,128.0,µM,False
Wu15,ivsel:Wu15|NVP|exp:3|p20,NVP,=,8.0,µM,False
Wu15,ivsel:Wu15|NVP|exp:3a|p25,NVP,=,32.0,µM,False
Wu15,ivsel:Wu15|NVP|exp:3b|p25,NVP,=,32.0,µM,False
Wu15,ivsel:Wu15|NVP|exp:3c|p25,NVP,=,32.0,µM,False
Wu15,ivsel:Wu15|NVP|exp:3c1|p35,NVP,=,128.0,µM,False
Wu15,ivsel:Wu15|NVP|exp:3c1|p40,NVP,=,128.0,µM,False
Wu15,ivsel:Wu15|NVP|exp:3c2|p35,NVP,=,128.0,µM,False
Wu15,ivsel:Wu15|EFV|exp:1|p10,EFV,=,4.0,nM,False
Wu15,ivsel:Wu15|EFV|exp:1|p15,EFV,=,16.0,nM,False
Wu15,ivsel:Wu15|EFV|exp:1|p25,EFV,=,500.0,nM,False
Wu15,ivsel:Wu15|EFV|exp:2|p10,EFV,=,4.0,nM,False
Wu15,ivsel:Wu15|EFV|exp:2|p15,EFV,=,16.0,nM,False
Wu15,ivsel:Wu15|EFV|exp:2|p30,EFV,=,2000.0,nM,False
Wu15,ivsel:Wu15|3TC|exp:1|p1,3TC,=,0.1,µM,False
Wu15,ivsel:Wu15|3TC|exp:1a|p15,3TC,=,8.0,µM,False
Wu15,ivsel:Wu15|3TC|exp:1b|p15,3TC,=,8.0,µM,False
