ref_name,isolate_name,drug_name,concentration_cmp,concentration,concentration_unit,concentration_unknown
Margot06,ivsel:Margot06|exp:1|14d,FTC,=,0.8,µM,False
Margot06,ivsel:Margot06|exp:2|18d,FTC,=,3.2,µM,False
Margot06,ivsel:Margot06|exp:1|11d,3TC,=,4.0,µM,False
Margot06,ivsel:Margot06|exp:1|56d,TDF,=,56.0,µM,False
Margot06,ivsel:Margot06|exp:2|44d,TDF,=,28.0,µM,False
Margot06,ivsel:Margot06|exp:1|44d,ABC,=,6.4,µM,False
Margot06,ivsel:Margot06|exp:1|24d,FTC,=,1.6,µM,False
Margot06,ivsel:Margot06|exp:1|24d,TDF,=,7.0,µM,False
Margot06,ivsel:Margot06|exp:2|40d,FTC,=,1.6,µM,False
Margot06,ivsel:Margot06|exp:2|40d,TDF,=,7.0,µM,False
Margot06,ivsel:Margot06|exp:3|18d,FTC,=,1.8,µM,False
Margot06,ivsel:Margot06|exp:3|18d,TDF,=,0.25,µM,False
Margot06,ivsel:Margot06|exp:1|18d,3TC,=,2.0,µM,False
Margot06,ivsel:Margot06|exp:1|18d,ABC,=,0.2,µM,False
Margot06,ivsel:Margot06|exp:1|48d,FTC,=,230.0,µM,False
Margot06,ivsel:Margot06|exp:2|58d,FTC,=,230.0,µM,False
Margot06,ivsel:Margot06|exp:1|58d,3TC,=,512.0,µM,False
Margot06,ivsel:Margot06|exp:1|99d,TDF,=,112.0,µM,False
Margot06,ivsel:Margot06|exp:2|328d,TDF,=,168.0,µM,False
Margot06,ivsel:Margot06|exp:1|203d,ABC,=,51.2,µM,False
Margot06,ivsel:Margot06|exp:1|133d,FTC,=,12.8,µM,False
Margot06,ivsel:Margot06|exp:1|133d,TDF,=,56.0,µM,False
Margot06,ivsel:Margot06|exp:2|288d,FTC,=,25.6,µM,False
Margot06,ivsel:Margot06|exp:2|288d,TDF,=,112.0,µM,False
Margot06,ivsel:Margot06|exp:3|71d,FTC,=,230.0,µM,False
Margot06,ivsel:Margot06|exp:3|71d,TDF,=,32.0,µM,False
Margot06,ivsel:Margot06|exp:1|42d,FTC,=,51.2,µM,False
Margot06,ivsel:Margot06|exp:1|42d,TDF,=,28.0,µM,False
Margot06,ivsel:Margot06|exp:1|54d,FTC,=,230.0,µM,False
Margot06,ivsel:Margot06|exp:1|54d,TDF,=,28.0,µM,False
Margot06,ivsel:Margot06|exp:1|329d,3TC,=,512.0,µM,False
Margot06,ivsel:Margot06|exp:1|329d,ABC,=,51.2,µM,False
