ref_name,isolate_name,drug_name,concentration_cmp,concentration,concentration_unit,concentration_unknown
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:1a|p~8,CAB,=,160.0,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:1a|p~12,CAB,=,160.0,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:1a|p~16,CAB,=,160.0,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:1b|p~4,CAB,=,32.0,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:1b|p~8,CAB,=,32.0,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:1b|p~12,CAB,=,32.0,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:1b|p~16,CAB,=,32.0,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2a|p~8,CAB,=,160.0,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2a|p~12,CAB,=,160.0,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2a|p~16,CAB,=,160.0,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2b|p~4,CAB,=,32.0,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2b|p~8,CAB,=,32.0,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2b|p~12,CAB,=,32.0,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2b|p~16,CAB,=,32.0,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2c|p~4,CAB,=,6.4,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2c|p~8,CAB,=,6.4,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2c|p~12,CAB,=,6.4,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2c|p~16,CAB,=,6.4,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148R)|exp:1a|p~16,CAB,=,160.0,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148R)|exp:1b|p~12,CAB,=,32.0,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148R)|exp:1b|p~16,CAB,=,32.0,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148R)|exp:1c|p~8,CAB,=,6.4,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148R)|exp:1c|p~12,CAB,=,6.4,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148R)|exp:1c|p~16,CAB,=,6.4,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:1a|p~12,CAB,=,160.0,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:1a|p~16,CAB,=,160.0,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:1b|p~8,CAB,=,32.0,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:1b|p~12,CAB,=,32.0,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:1b|p~16,CAB,=,32.0,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:1c|p~8,CAB,=,32.0,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:1c|p~12,CAB,=,32.0,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:1c|p~16,CAB,=,32.0,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:2a|p~8,CAB,=,160.0,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:2a|p~12,CAB,=,160.0,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:2a|p~16,CAB,=,160.0,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:2b|p~8,CAB,=,32.0,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:2b|p~12,CAB,=,32.0,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:2b|p~16,CAB,=,32.0,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:2c|p~4,CAB,=,6.4,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:2c|p~8,CAB,=,6.4,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:2c|p~12,CAB,=,6.4,nM,False
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:2c|p~16,CAB,=,6.4,nM,False
