ref_name,isolate_name,drug_name,concentration_cmp,concentration,concentration_unit,concentration_unknown
Watkins03,ivsel:Watkins03|SQV|exp:1|p4,SQV,=,0.016,µm,False
Watkins03,ivsel:Watkins03|SQV|exp:1|p10,SQV,=,0.188,µm,False
Watkins03,ivsel:Watkins03|SQV|exp:1|p15,SQV,=,1.86,µm,False
Watkins03,ivsel:Watkins03|SQV|exp:1|p17,SQV,=,4.2,µm,False
Watkins03,ivsel:Watkins03|SQV|exp:1|p18,SQV,=,5.0,µm,False
Watkins03,ivsel:Watkins03|SQV|exp:1|p27,SQV,=,5.0,µm,False
Watkins03,ivsel:Watkins03|SQV|exp:1|p37,SQV,=,10.0,µm,False
Watkins03,ivsel:Watkins03|SQV|exp:1|p47,SQV,=,15.0,µm,False
Watkins03,ivsel:Watkins03|RTV|exp:1|p10,RTV,=,0.687,µm,False
Watkins03,ivsel:Watkins03|RTV|exp:1|p12,RTV,=,1.55,µm,False
Watkins03,ivsel:Watkins03|RTV|exp:1|p14,RTV,=,3.48,µm,False
Watkins03,ivsel:Watkins03|RTV|exp:1|p15,RTV,=,5.0,µm,False
Watkins03,ivsel:Watkins03|RTV|exp:1|p24,RTV,=,5.0,µm,False
Watkins03,ivsel:Watkins03|RTV|exp:1|p34,RTV,=,10.0,µm,False
Watkins03,ivsel:Watkins03|RTV|exp:1|p44,RTV,=,15.0,µm,False
Watkins03,ivsel:Watkins03|IDV|exp:1|p10,IDV,=,0.365,µm,False
Watkins03,ivsel:Watkins03|IDV|exp:1|p13,IDV,=,1.233,µm,False
Watkins03,ivsel:Watkins03|IDV|exp:1|p16,IDV,=,4.2,µm,False
Watkins03,ivsel:Watkins03|IDV|exp:1|p17,IDV,=,5.0,µm,False
Watkins03,ivsel:Watkins03|IDV|exp:1|p25,IDV,=,5.0,µm,False
Watkins03,ivsel:Watkins03|IDV|exp:1|p35,IDV,=,10.0,µm,False
Watkins03,ivsel:Watkins03|IDV|exp:1|p45,IDV,=,15.0,µm,False
Watkins03,ivsel:Watkins03|SQV+RTV|exp:1|p4,SQV,=,0.006,µm,False
Watkins03,ivsel:Watkins03|SQV+RTV|exp:1|p4,RTV,=,0.022,µm,False
Watkins03,ivsel:Watkins03|SQV+RTV|exp:1|p10,SQV,=,0.072,µm,False
Watkins03,ivsel:Watkins03|SQV+RTV|exp:1|p10,RTV,=,0.26,µm,False
Watkins03,ivsel:Watkins03|SQV+RTV|exp:1|p15,SQV,=,0.563,µm,False
Watkins03,ivsel:Watkins03|SQV+RTV|exp:1|p15,RTV,=,1.98,µm,False
Watkins03,ivsel:Watkins03|SQV+RTV|exp:1|p16,SQV,=,1.126,µm,False
Watkins03,ivsel:Watkins03|SQV+RTV|exp:1|p16,RTV,=,3.96,µm,False
Watkins03,ivsel:Watkins03|SQV+RTV|exp:1|p17,SQV,=,1.689,µm,False
Watkins03,ivsel:Watkins03|SQV+RTV|exp:1|p17,RTV,=,5.94,µm,False
Watkins03,ivsel:Watkins03|SQV+RTV|exp:1|p27,SQV,=,5.0,µm,False
Watkins03,ivsel:Watkins03|SQV+RTV|exp:1|p27,RTV,=,5.0,µm,False
Watkins03,ivsel:Watkins03|RTV+IDV|exp:1|p10,RTV,=,0.345,µm,False
Watkins03,ivsel:Watkins03|RTV+IDV|exp:1|p10,IDV,=,0.183,µm,False
Watkins03,ivsel:Watkins03|RTV+IDV|exp:1|p14,RTV,=,1.755,µm,False
Watkins03,ivsel:Watkins03|RTV+IDV|exp:1|p14,IDV,=,0.93,µm,False
Watkins03,ivsel:Watkins03|RTV+IDV|exp:1|p16,RTV,=,4.0,µm,False
Watkins03,ivsel:Watkins03|RTV+IDV|exp:1|p16,IDV,=,2.1,µm,False
Watkins03,ivsel:Watkins03|RTV+IDV|exp:1|p17,RTV,=,6.0,µm,False
Watkins03,ivsel:Watkins03|RTV+IDV|exp:1|p17,IDV,=,3.2,µm,False
Watkins03,ivsel:Watkins03|RTV+IDV|exp:1|p27,RTV,=,5.0,µm,False
Watkins03,ivsel:Watkins03|RTV+IDV|exp:1|p27,IDV,=,5.0,µm,False
Watkins03,ivsel:Watkins03|IDV+SQV|exp:1|p11,IDV,=,0.093,µm,False
Watkins03,ivsel:Watkins03|IDV+SQV|exp:1|p11,SQV,=,0.183,µm,False
Watkins03,ivsel:Watkins03|IDV+SQV|exp:1|p15,IDV,=,0.473,µm,False
Watkins03,ivsel:Watkins03|IDV+SQV|exp:1|p15,SQV,=,0.93,µm,False
Watkins03,ivsel:Watkins03|IDV+SQV|exp:1|p18,IDV,=,2.13,µm,False
Watkins03,ivsel:Watkins03|IDV+SQV|exp:1|p18,SQV,=,4.2,µm,False
Watkins03,ivsel:Watkins03|IDV+SQV|exp:1|p19,IDV,=,3.2,µm,False
Watkins03,ivsel:Watkins03|IDV+SQV|exp:1|p19,SQV,=,6.3,µm,False
Watkins03,ivsel:Watkins03|IDV+SQV|exp:1|p29,IDV,=,5.0,µm,False
Watkins03,ivsel:Watkins03|IDV+SQV|exp:1|p29,SQV,=,5.0,µm,False
