isolate_name,subtype
ivsel:Feng15|92RW026|DOR|exp:1|2seq,NULL
ivsel:Feng15|92RW026|DOR|exp:2|1seq,NULL
ivsel:Feng15|92RW026|DOR|exp:2|2seq,NULL
ivsel:Feng15|92RW026|DOR|exp:2|3seq,NULL
ivsel:Feng15|92RW026|EFV|exp:1|1seq,NULL
ivsel:Feng15|92RW026|EFV|exp:1|2seq,NULL
ivsel:Feng15|92RW026|EFV|exp:2|1seq,NULL
ivsel:Feng15|92RW026|EFV|exp:2|2seq,NULL
ivsel:Feng15|92RW026|RPV|exp:1|1seq,NULL
ivsel:Feng15|92RW026|RPV|exp:1|2seq,NULL
ivsel:Feng15|92RW026|RPV|exp:1|3seq,NULL
ivsel:Feng15|92RW026|RPV|exp:2|1seq,NULL
ivsel:Feng15|92RW026|RPV|exp:2|2seq,NULL
ivsel:Feng15|93MW959|DOR|exp:1|1seq,NULL
ivsel:Feng15|93MW959|DOR|exp:1|2seq,NULL
ivsel:Feng15|93MW959|DOR|exp:2|1seq,NULL
ivsel:Feng15|93MW959|DOR|exp:2|2seq,NULL
ivsel:Feng15|93MW959|EFV|exp:1|1seq,NULL
ivsel:Feng15|93MW959|EFV|exp:1|2seq,NULL
ivsel:Feng15|93MW959|EFV|exp:1|3seq,NULL
ivsel:Feng15|93MW959|EFV|exp:2|1seq,NULL
ivsel:Feng15|93MW959|EFV|exp:2|2seq,NULL
ivsel:Feng15|93MW959|RPV|exp:1|1seq,NULL
ivsel:Feng15|93MW959|RPV|exp:1|2seq,NULL
ivsel:Feng15|93MW959|RPV|exp:2|1seq,NULL
ivsel:Feng15|93MW959|RPV|exp:2|2seq,NULL
ivsel:Feng15|93MW959|RPV|exp:3|1seq,NULL
ivsel:Feng15|93MW959|RPV|exp:3|2seq,NULL
ivsel:Gong00|exp:1|1mo,NULL
ivsel:Gong00|exp:1|2.4mo,NULL
ivsel:Gong00|exp:1|3.5mo,NULL
ivsel:Gong00|exp:1|4.8mo,NULL
ivsel:Gong00|exp:1|2.6mo,NULL
ivsel:Gong00|exp:1|4.7mo,NULL
ivsel:Gong00|exp:1|3.9mo,NULL
ivsel:Gong00|exp:1|4.6mo,NULL
ivsel:Margot12|EVG|exp:1|p8,NULL
ivsel:Margot12|EVG|exp:1|p11,NULL
ivsel:Margot12|EVG|exp:1|p12,NULL
ivsel:Margot12|EVG|exp:2|p3,NULL
ivsel:Margot12|EVG|exp:2|p4,NULL
ivsel:Margot12|EVG|exp:2|p6,NULL
ivsel:Margot12|EVG|exp:2|p7,NULL
ivsel:Margot12|EVG|exp:2|p9,NULL
ivsel:Margot12|EVG|exp:2|p11,NULL
ivsel:Margot12|EVG|exp:2|p12,NULL
ivsel:Margot12|RAL|exp:1|p11,NULL
NL4-3 (Q148K),B
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:1a|p~8,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:1a|p~12,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:1a|p~16,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:1b|p~4,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:1b|p~8,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:1b|p~12,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:1b|p~16,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2a|p~8,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2a|p~12,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2a|p~16,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2b|p~4,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2b|p~8,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2b|p~12,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2b|p~16,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2c|p~4,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2c|p~8,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2c|p~12,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2c|p~16,NULL
NL4-3 (Q148R),B
ivsel:Yoshinaga18|NL4-3 (Q148R)|exp:1a|p~16,NULL
ivsel:Yoshinaga18|NL4-3 (Q148R)|exp:1b|p~12,NULL
ivsel:Yoshinaga18|NL4-3 (Q148R)|exp:1b|p~16,NULL
ivsel:Yoshinaga18|NL4-3 (Q148R)|exp:1c|p~8,NULL
ivsel:Yoshinaga18|NL4-3 (Q148R)|exp:1c|p~12,NULL
ivsel:Yoshinaga18|NL4-3 (Q148R)|exp:1c|p~16,NULL
NL4-3 (Q148H),B
ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:1a|p~12,NULL
ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:1a|p~16,NULL
ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:1b|p~8,NULL
ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:1b|p~12,NULL
ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:1b|p~16,NULL
ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:1c|p~8,NULL
ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:1c|p~12,NULL
ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:1c|p~16,NULL
ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:2a|p~8,NULL
ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:2a|p~12,NULL
ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:2a|p~16,NULL
ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:2b|p~8,NULL
ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:2b|p~12,NULL
ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:2b|p~16,NULL
ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:2c|p~4,NULL
ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:2c|p~8,NULL
ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:2c|p~12,NULL
ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:2c|p~16,NULL
ivsel:Margot06|exp:1|14d,NULL
ivsel:Margot06|exp:2|18d,NULL
ivsel:Margot06|exp:1|11d,NULL
ivsel:Margot06|exp:1|56d,NULL
ivsel:Margot06|exp:2|44d,NULL
ivsel:Margot06|exp:1|44d,NULL
ivsel:Margot06|exp:1|24d,NULL
ivsel:Margot06|exp:2|40d,NULL
ivsel:Margot06|exp:3|18d,NULL
ivsel:Margot06|exp:1|18d,NULL
ivsel:Margot06|exp:1|48d,NULL
ivsel:Margot06|exp:2|58d,NULL
ivsel:Margot06|exp:1|58d,NULL
ivsel:Margot06|exp:1|99d,NULL
ivsel:Margot06|exp:2|328d,NULL
ivsel:Margot06|exp:1|203d,NULL
ivsel:Margot06|exp:1|133d,NULL
ivsel:Margot06|exp:2|288d,NULL
ivsel:Margot06|exp:3|71d,NULL
IIIB (M184I/L214F),B
ivsel:Margot06|exp:1|42d,NULL
IIIB (K65R),B
ivsel:Margot06|exp:1|54d,NULL
ivsel:Margot06|exp:1|329d,NULL
ivsel:Jones08|exp:1|p7,NULL
ivsel:Jones08|exp:1|p11,NULL
ivsel:Jones08|exp:1|p13,NULL
ivsel:Jones08|exp:2|p3,NULL
ivsel:Jones08|exp:2|p6,NULL
ivsel:Jones08|exp:2|p9,NULL
ivsel:Jones08|exp:2|p12,NULL
ivsel:Garvey08|Naphthyridinone|exp:1|18d,NULL
ivsel:Garvey08|Naphthyridinone|exp:1|42d,NULL
ivsel:Garvey08|Naphthyridinone|exp:1|56d,NULL
ivsel:Garvey08|EVG|exp:1|13d,NULL
ivsel:Garvey08|EVG|exp:1|18d,NULL
ivsel:Garvey08|EVG|exp:1|42d,NULL
ivsel:Garvey08|EVG|exp:1|56d,NULL
ivsel:Garvey08|3TC|exp:1|13d,NULL
ivsel:Garvey08|3TC|exp:1|18d,NULL
r13816,CRF01_AE
ivsel:Azijn10|r13816|exp:1|69d,NULL
ivsel:Azijn10|r13816|exp:2|109d,NULL
r13817,CRF01_AE
ivsel:Azijn10|r13817|exp:1|107d,NULL
ivsel:Azijn10|r13817|exp:1|293d,NULL
r13813,CRF02_AG
ivsel:Azijn10|r13813|exp:1|108d,NULL
ivsel:Azijn10|IIIB|exp:1|69d,NULL
ivsel:Azijn10|IIIB|exp:1|90d,NULL
ivsel:Azijn10|IIIB|exp:1|121d,NULL
ivsel:Azijn10|IIIB|exp:2|66d,NULL
ivsel:Azijn10|IIIB|exp:2|108d,NULL
ivsel:Azijn10|IIIB|exp:2|122d,NULL
ivsel:Azijn10|IIIB|exp:3|34d,NULL
ivsel:Azijn10|IIIB|exp:3|59d,NULL
ivsel:Azijn10|IIIB|exp:4|34d,NULL
ivsel:Azijn10|IIIB|exp:4|62d,NULL
ivsel:Azijn10|IIIB|exp:4|90d,NULL
ivsel:Azijn10|IIIB|exp:5|32d,NULL
ivsel:Azijn10|IIIB|exp:5|52d,NULL
ivsel:Azijn10|IIIB|exp:5|70d,NULL
ivsel:Azijn10|IIIB|exp:6|116d,NULL
v071130,C
ivsel:Azijn10|v071130|exp:1|128d,NULL
ivsel:Azijn10|v071130|exp:1|276d,NULL
v071038,D
ivsel:Azijn10|v071038|exp:1|93d,NULL
ivsel:Azijn10|v071038|exp:1|139d,NULL
ivsel:Azijn10|v071038|exp:1|163d,NULL
SM041,B
ivsel:Azijn10|SM041|exp:1|90d,NULL
ivsel:Azijn10|SM041|exp:1|160d,NULL
ivsel:Azijn10|SM041|exp:1|212d,NULL
SM051,B
ivsel:Azijn10|SM051|exp:1|93d,NULL
SM052,B
ivsel:Azijn10|SM052|exp:1|118d,NULL
SDM020001,B
ivsel:Azijn10|SDM020001|exp:1|161d,NULL
SDM020059,B
ivsel:Azijn10|SDM020059|exp:1|171d,NULL
r9602,B
ivsel:Azijn10|r9602|exp:1|28d,NULL
ivsel:Azijn10|r9602|exp:1|52d,NULL
ivsel:Azijn10|r9602|exp:1|63d,NULL
ivsel:Azijn10|r9602|exp:2|74d,NULL
ivsel:Azijn10|r9602|exp:2|109d,NULL
ivsel:Goethals08|exp:1|p5,NULL
ivsel:Goethals08|exp:1|p7,NULL
