isolate_name,gene,genbank_accn
ivsel:Keulen97|exp:1|dose:1uM,RT,NULL
ivsel:Keulen97|exp:1|dose:10uM,RT,NULL
ivsel:Vaillancourt99|exp:1|p4,PR,NULL
ivsel:Vaillancourt99|exp:1|p10,PR,NULL
ivsel:Vaillancourt99|exp:1|p15,PR,NULL
ivsel:Vaillancourt99|exp:1|p17,PR,NULL
ivsel:Vaillancourt99|exp:1|p27,PR,NULL
ivsel:Vaillancourt99|exp:2|p5,PR,NULL
ivsel:Vaillancourt99|exp:2|p7,PR,NULL
ivsel:Vaillancourt99|exp:2|p10,PR,NULL
ivsel:Vaillancourt99|exp:2|p15,PR,NULL
ivsel:Vaillancourt99|exp:3|p5,PR,NULL
ivsel:Vaillancourt99|exp:3|p7,PR,NULL
ivsel:Vaillancourt99|exp:3|p10,PR,NULL
ivsel:Vaillancourt99|exp:4|p4,PR,NULL
ivsel:Vaillancourt99|exp:4|p10,PR,NULL
ivsel:Vaillancourt99|exp:4|p15,PR,NULL
ivsel:Fikkert03|exp:1|p25,IN,NULL
ivsel:Fikkert03|exp:1|p35,IN,NULL
ivsel:Fikkert03|exp:1|p40,IN,NULL
ivsel:Fikkert03|exp:1|p60,IN,NULL
ivsel:Fikkert03|exp:1|p70,IN,NULL
ivsel:Oliveira17|Strain 5326|Islatravir|exp:1|17w,RT,NULL
ivsel:Oliveira17|Strain 5326|Islatravir|exp:1|27w,RT,NULL
ivsel:Oliveira17|Strain 14637|Islatravir|exp:1|17w,RT,NULL
ivsel:Oliveira17|Strain 14637|Islatravir|exp:1|27w,RT,NULL
ivsel:Oliveira17|Strain 4742|Islatravir|exp:1|14w,RT,NULL
ivsel:Oliveira17|Strain 4742|Islatravir|exp:1|24w,RT,NULL
ivsel:Oliveira17|Strain 6343|Islatravir|exp:1|14w,RT,NULL
ivsel:Oliveira17|Strain 6343|Islatravir|exp:1|24w,RT,NULL
ivsel:Oliveira17|96USSN20|Islatravir|exp:1|14w,RT,NULL
ivsel:Oliveira17|96USSN20|Islatravir|exp:1|24w,RT,NULL
ivsel:Oliveira17|Strain 5326|3TC|exp:1|17w,RT,NULL
ivsel:Oliveira17|Strain 5326|3TC|exp:1|27w,RT,NULL
ivsel:Oliveira17|Strain 14637|3TC|exp:1|17w,RT,NULL
ivsel:Oliveira17|Strain 14637|3TC|exp:1|27w,RT,NULL
ivsel:Oliveira17|Strain 4742|3TC|exp:1|14w,RT,NULL
ivsel:Oliveira17|Strain 4742|3TC|exp:1|24w,RT,NULL
ivsel:Oliveira17|Strain 6343|3TC|exp:1|14w,RT,NULL
ivsel:Oliveira17|Strain 6343|3TC|exp:1|24w,RT,NULL
ivsel:Oliveira17|96USSN20|3TC|exp:1|14w,RT,NULL
ivsel:Oliveira17|96USSN20|3TC|exp:1|24w,RT,NULL
ivsel:Oliveira17|Strain 14624|RPV|exp:1|23w,RT,NULL
ivsel:Oliveira17|Strain 14624|RPV|exp:1|37w,RT,NULL
ivsel:Oliveira17|Strain 14514|RPV|exp:1|37w,RT,NULL
Strain 12217,RT,MF684273.1
ivsel:Oliveira17|Strain 12217|RPV|exp:1|23w,RT,NULL
ivsel:Boucher93|RF|exp:A,RT,NULL
ivsel:Boucher93|HXB2|exp:B,RT,NULL
C19,RT,NULL
ivsel:Boucher93|C19|exp:B,RT,NULL
ivsel:Brehm07|BRU|exp:1|p25,RT,NULL
ivsel:Brehm07|BRU|exp:1|p30,RT,NULL
ivsel:Brehm07|BRU|exp:1|p35,RT,NULL
ivsel:Brehm07|BRU|exp:1|p40,RT,NULL
ivsel:Brehm07|BRU|exp:1|p55,RT,NULL
ivsel:Brehm07|BRU|exp:1|p60,RT,NULL
ivsel:Brehm07|BRU|exp:1|p65,RT,NULL
LAI (M41L/L210W/T215Y),RT,NULL
