ref_name,isolate_name,baseline_isolate_name,cell_line,experiment,passage_cmp,passage,passage_unknown,cumulative_culture_time_cmp,cumulative_culture_time,cumulative_culture_time_unit,cumulative_culture_time_unknown,section
Brenner21,ivsel:Brenner21|Strain 14637|DOR|exp:1|8w,Strain 14637,CBMC,1,NULL,NULL,True,=,8,week,False,Table 1
Brenner21,ivsel:Brenner21|Strain 14969|DOR|exp:1|8w,Strain 14969,CBMC,1,NULL,NULL,True,=,8,week,False,Table 1
Brenner21,ivsel:Brenner21|Strain 5326|DOR|exp:1|8w,Strain 5326,CBMC,1,NULL,NULL,True,=,8,week,False,Table 1
Brenner21,ivsel:Brenner21|Strain 4742|DOR|exp:1|8w,Strain 4742,CBMC,1,NULL,NULL,True,=,8,week,False,Table 1
Brenner21,ivsel:Brenner21|Strain 6343|DOR|exp:1|8w,Strain 6343,CBMC,1,NULL,NULL,True,=,8,week,False,Table 1
Brenner21,ivsel:Brenner21|96USSN20|DOR|exp:1|8w,96USSN20,CBMC,1,NULL,NULL,True,=,8,week,False,Table 1
Brenner21,ivsel:Brenner21|NL4-3|DOR|exp:1|8w,NL4-3,CBMC,1,NULL,NULL,True,=,8,week,False,Table 1
Brenner21,ivsel:Brenner21|Strain 14637|DOR|exp:1|24w,Strain 14637,CBMC,1,NULL,NULL,True,=,24,week,False,Table 1
Brenner21,ivsel:Brenner21|Strain 14969|DOR|exp:1|24w,Strain 14969,CBMC,1,NULL,NULL,True,=,24,week,False,Table 1
Brenner21,ivsel:Brenner21|Strain 5326|DOR|exp:1|24w,Strain 5326,CBMC,1,NULL,NULL,True,=,24,week,False,Table 1
Brenner21,ivsel:Brenner21|Strain 4742|DOR|exp:1|24w,Strain 4742,CBMC,1,NULL,NULL,True,=,24,week,False,Table 1
Brenner21,ivsel:Brenner21|Strain 6343|DOR|exp:1|24w,Strain 6343,CBMC,1,NULL,NULL,True,=,24,week,False,Table 1
Brenner21,ivsel:Brenner21|96USSN20|DOR|exp:1|24w,96USSN20,CBMC,1,NULL,NULL,True,=,24,week,False,Table 1
Brenner21,ivsel:Brenner21|NL4-3|DOR|exp:1|24w,NL4-3,CBMC,1,NULL,NULL,True,=,24,week,False,Table 1
Brenner21,ivsel:Brenner21|Strain 14637|DOR+Islatravir|exp:1|8w,Strain 14637,CBMC,1,NULL,NULL,True,=,8,week,False,Table 1
Brenner21,ivsel:Brenner21|Strain 14969|DOR+Islatravir|exp:1|8w,Strain 14969,CBMC,1,NULL,NULL,True,=,8,week,False,Table 1
Brenner21,ivsel:Brenner21|Strain 5326|DOR+Islatravir|exp:1|8w,Strain 5326,CBMC,1,NULL,NULL,True,=,8,week,False,Table 1
Brenner21,ivsel:Brenner21|Strain 4742|DOR+Islatravir|exp:1|8w,Strain 4742,CBMC,1,NULL,NULL,True,=,8,week,False,Table 1
Brenner21,ivsel:Brenner21|Strain 6343|DOR+Islatravir|exp:1|8w,Strain 6343,CBMC,1,NULL,NULL,True,=,8,week,False,Table 1
Brenner21,ivsel:Brenner21|96USSN20|DOR+Islatravir|exp:1|8w,96USSN20,CBMC,1,NULL,NULL,True,=,8,week,False,Table 1
Brenner21,ivsel:Brenner21|NL4-3|DOR+Islatravir|exp:1|8w,NL4-3,CBMC,1,NULL,NULL,True,=,8,week,False,Table 1
Brenner21,ivsel:Brenner21|Strain 14637|DOR+Islatravir|exp:1|24w,Strain 14637,CBMC,1,NULL,NULL,True,=,24,week,False,Table 1
Brenner21,ivsel:Brenner21|Strain 14969|DOR+Islatravir|exp:1|24w,Strain 14969,CBMC,1,NULL,NULL,True,=,24,week,False,Table 1
Brenner21,ivsel:Brenner21|Strain 5326|DOR+Islatravir|exp:1|24w,Strain 5326,CBMC,1,NULL,NULL,True,=,24,week,False,Table 1
Brenner21,ivsel:Brenner21|Strain 4742|DOR+Islatravir|exp:1|24w,Strain 4742,CBMC,1,NULL,NULL,True,=,24,week,False,Table 1
Brenner21,ivsel:Brenner21|Strain 6343|DOR+Islatravir|exp:1|24w,Strain 6343,CBMC,1,NULL,NULL,True,=,24,week,False,Table 1
Brenner21,ivsel:Brenner21|96USSN20|DOR+Islatravir|exp:1|24w,96USSN20,CBMC,1,NULL,NULL,True,=,24,week,False,Table 1
Brenner21,ivsel:Brenner21|NL4-3|DOR+Islatravir|exp:1|24w,NL4-3,CBMC,1,NULL,NULL,True,=,24,week,False,Table 1
Brenner21,ivsel:Brenner21|Strain 14637|DOR+3TC|exp:1|8w,Strain 14637,CBMC,1,NULL,NULL,True,=,8,week,False,Table 1
Brenner21,ivsel:Brenner21|Strain 14969|DOR+3TC|exp:1|8w,Strain 14969,CBMC,1,NULL,NULL,True,=,8,week,False,Table 1
Brenner21,ivsel:Brenner21|Strain 5326|DOR+3TC|exp:1|8w,Strain 5326,CBMC,1,NULL,NULL,True,=,8,week,False,Table 1
Brenner21,ivsel:Brenner21|Strain 4742|DOR+3TC|exp:1|8w,Strain 4742,CBMC,1,NULL,NULL,True,=,8,week,False,Table 1
Brenner21,ivsel:Brenner21|Strain 6343|DOR+3TC|exp:1|8w,Strain 6343,CBMC,1,NULL,NULL,True,=,8,week,False,Table 1
Brenner21,ivsel:Brenner21|96USSN20|DOR+3TC|exp:1|8w,96USSN20,CBMC,1,NULL,NULL,True,=,8,week,False,Table 1
Brenner21,ivsel:Brenner21|NL4-3|DOR+3TC|exp:1|8w,NL4-3,CBMC,1,NULL,NULL,True,=,8,week,False,Table 1
Brenner21,ivsel:Brenner21|Strain 14637|DOR+3TC|exp:1|24w,Strain 14637,CBMC,1,NULL,NULL,True,=,24,week,False,Table 1
Brenner21,ivsel:Brenner21|Strain 14969|DOR+3TC|exp:1|24w,Strain 14969,CBMC,1,NULL,NULL,True,=,24,week,False,Table 1
Brenner21,ivsel:Brenner21|Strain 5326|DOR+3TC|exp:1|24w,Strain 5326,CBMC,1,NULL,NULL,True,=,24,week,False,Table 1
Brenner21,ivsel:Brenner21|Strain 4742|DOR+3TC|exp:1|24w,Strain 4742,CBMC,1,NULL,NULL,True,=,24,week,False,Table 1
Brenner21,ivsel:Brenner21|Strain 6343|DOR+3TC|exp:1|24w,Strain 6343,CBMC,1,NULL,NULL,True,=,24,week,False,Table 1
Brenner21,ivsel:Brenner21|96USSN20|DOR+3TC|exp:1|24w,96USSN20,CBMC,1,NULL,NULL,True,=,24,week,False,Table 1
Brenner21,ivsel:Brenner21|NL4-3|DOR+3TC|exp:1|24w,NL4-3,CBMC,1,NULL,NULL,True,=,24,week,False,Table 1
Brenner21,ivsel:Brenner21|Strain 14637|RPV|exp:1|8w,Strain 14637,CBMC,1,NULL,NULL,True,=,8,week,False,Table 2
Brenner21,ivsel:Brenner21|Strain 14969|RPV|exp:1|8w,Strain 14969,CBMC,1,NULL,NULL,True,=,8,week,False,Table 2
Brenner21,ivsel:Brenner21|Strain 5326|RPV|exp:1|8w,Strain 5326,CBMC,1,NULL,NULL,True,=,8,week,False,Table 2
Brenner21,ivsel:Brenner21|Strain 4742|RPV|exp:1|8w,Strain 4742,CBMC,1,NULL,NULL,True,=,8,week,False,Table 2
Brenner21,ivsel:Brenner21|Strain 6343|RPV|exp:1|8w,Strain 6343,CBMC,1,NULL,NULL,True,=,8,week,False,Table 2
Brenner21,ivsel:Brenner21|96USSN20|RPV|exp:1|8w,96USSN20,CBMC,1,NULL,NULL,True,=,8,week,False,Table 2
Brenner21,ivsel:Brenner21|NL4-3|RPV|exp:1|8w,NL4-3,CBMC,1,NULL,NULL,True,=,8,week,False,Table 2
Brenner21,ivsel:Brenner21|Strain 14637|RPV|exp:1|24w,Strain 14637,CBMC,1,NULL,NULL,True,=,24,week,False,Table 2
Brenner21,ivsel:Brenner21|Strain 14969|RPV|exp:1|24w,Strain 14969,CBMC,1,NULL,NULL,True,=,24,week,False,Table 2
Brenner21,ivsel:Brenner21|Strain 5326|RPV|exp:1|24w,Strain 5326,CBMC,1,NULL,NULL,True,=,24,week,False,Table 2
Brenner21,ivsel:Brenner21|Strain 4742|RPV|exp:1|24w,Strain 4742,CBMC,1,NULL,NULL,True,=,24,week,False,Table 2
Brenner21,ivsel:Brenner21|Strain 6343|RPV|exp:1|24w,Strain 6343,CBMC,1,NULL,NULL,True,=,24,week,False,Table 2
Brenner21,ivsel:Brenner21|96USSN20|RPV|exp:1|24w,96USSN20,CBMC,1,NULL,NULL,True,=,24,week,False,Table 2
Brenner21,ivsel:Brenner21|NL4-3|RPV|exp:1|24w,NL4-3,CBMC,1,NULL,NULL,True,=,24,week,False,Table 2
Brenner21,ivsel:Brenner21|Strain 14637|RPV+Islatravir|exp:1|8w,Strain 14637,CBMC,1,NULL,NULL,True,=,8,week,False,Table 2
Brenner21,ivsel:Brenner21|Strain 14969|RPV+Islatravir|exp:1|8w,Strain 14969,CBMC,1,NULL,NULL,True,=,8,week,False,Table 2
Brenner21,ivsel:Brenner21|Strain 5326|RPV+Islatravir|exp:1|8w,Strain 5326,CBMC,1,NULL,NULL,True,=,8,week,False,Table 2
Brenner21,ivsel:Brenner21|Strain 4742|RPV+Islatravir|exp:1|8w,Strain 4742,CBMC,1,NULL,NULL,True,=,8,week,False,Table 2
Brenner21,ivsel:Brenner21|Strain 6343|RPV+Islatravir|exp:1|8w,Strain 6343,CBMC,1,NULL,NULL,True,=,8,week,False,Table 2
Brenner21,ivsel:Brenner21|96USSN20|RPV+Islatravir|exp:1|8w,96USSN20,CBMC,1,NULL,NULL,True,=,8,week,False,Table 2
Brenner21,ivsel:Brenner21|NL4-3|RPV+Islatravir|exp:1|8w,NL4-3,CBMC,1,NULL,NULL,True,=,8,week,False,Table 2
Brenner21,ivsel:Brenner21|Strain 14637|RPV+Islatravir|exp:1|24w,Strain 14637,CBMC,1,NULL,NULL,True,=,24,week,False,Table 2
Brenner21,ivsel:Brenner21|Strain 14969|RPV+Islatravir|exp:1|24w,Strain 14969,CBMC,1,NULL,NULL,True,=,24,week,False,Table 2
Brenner21,ivsel:Brenner21|Strain 5326|RPV+Islatravir|exp:1|24w,Strain 5326,CBMC,1,NULL,NULL,True,=,24,week,False,Table 2
Brenner21,ivsel:Brenner21|Strain 4742|RPV+Islatravir|exp:1|24w,Strain 4742,CBMC,1,NULL,NULL,True,=,24,week,False,Table 2
Brenner21,ivsel:Brenner21|Strain 6343|RPV+Islatravir|exp:1|24w,Strain 6343,CBMC,1,NULL,NULL,True,=,24,week,False,Table 2
Brenner21,ivsel:Brenner21|96USSN20|RPV+Islatravir|exp:1|24w,96USSN20,CBMC,1,NULL,NULL,True,=,24,week,False,Table 2
Brenner21,ivsel:Brenner21|NL4-3|RPV+Islatravir|exp:1|24w,NL4-3,CBMC,1,NULL,NULL,True,=,24,week,False,Table 2
Brenner21,ivsel:Brenner21|Strain 14637|RPV+3TC|exp:1|8w,Strain 14637,CBMC,1,NULL,NULL,True,=,8,week,False,Table 2
Brenner21,ivsel:Brenner21|Strain 14969|RPV+3TC|exp:1|8w,Strain 14969,CBMC,1,NULL,NULL,True,=,8,week,False,Table 2
Brenner21,ivsel:Brenner21|Strain 5326|RPV+3TC|exp:1|8w,Strain 5326,CBMC,1,NULL,NULL,True,=,8,week,False,Table 2
Brenner21,ivsel:Brenner21|Strain 4742|RPV+3TC|exp:1|8w,Strain 4742,CBMC,1,NULL,NULL,True,=,8,week,False,Table 2
Brenner21,ivsel:Brenner21|Strain 6343|RPV+3TC|exp:1|8w,Strain 6343,CBMC,1,NULL,NULL,True,=,8,week,False,Table 2
Brenner21,ivsel:Brenner21|96USSN20|RPV+3TC|exp:1|8w,96USSN20,CBMC,1,NULL,NULL,True,=,8,week,False,Table 2
Brenner21,ivsel:Brenner21|NL4-3|RPV+3TC|exp:1|8w,NL4-3,CBMC,1,NULL,NULL,True,=,8,week,False,Table 2
Brenner21,ivsel:Brenner21|Strain 14637|RPV+3TC|exp:1|24w,Strain 14637,CBMC,1,NULL,NULL,True,=,24,week,False,Table 2
Brenner21,ivsel:Brenner21|Strain 14969|RPV+3TC|exp:1|24w,Strain 14969,CBMC,1,NULL,NULL,True,=,24,week,False,Table 2
Brenner21,ivsel:Brenner21|Strain 5326|RPV+3TC|exp:1|24w,Strain 5326,CBMC,1,NULL,NULL,True,=,24,week,False,Table 2
