ref_name,isolate_name,baseline_isolate_name,cell_line,experiment,passage_cmp,passage,passage_unknown,cumulative_culture_time_cmp,cumulative_culture_time,cumulative_culture_time_unit,cumulative_culture_time_unknown,section
Azijn10,ivsel:Azijn10|r13816|exp:1|69d,r13816,MT-4,1,NULL,NULL,True,=,69,day,False,Table 5
Azijn10,ivsel:Azijn10|r13816|exp:2|109d,r13816,MT-4,2,NULL,NULL,True,=,109,day,False,Table 5
Azijn10,ivsel:Azijn10|r13817|exp:1|107d,r13817,MT-4,1,NULL,NULL,True,=,107,day,False,Table 5
Azijn10,ivsel:Azijn10|r13817|exp:1|293d,r13817,MT-4,1,NULL,NULL,True,=,293,day,False,Table 5
Azijn10,ivsel:Azijn10|r13813|exp:1|108d,r13813,MT-4,1,NULL,NULL,True,=,108,day,False,Table 5
Azijn10,ivsel:Azijn10|IIIB|exp:1|69d,IIIB,MT-4,1,NULL,NULL,True,=,69,day,False,Table 5
Azijn10,ivsel:Azijn10|IIIB|exp:1|90d,IIIB,MT-4,1,NULL,NULL,True,=,90,day,False,Table 5
Azijn10,ivsel:Azijn10|IIIB|exp:1|121d,IIIB,MT-4,1,NULL,NULL,True,=,121,day,False,Table 5
Azijn10,ivsel:Azijn10|IIIB|exp:2|66d,IIIB,MT-4,2,NULL,NULL,True,=,66,day,False,Table 5
Azijn10,ivsel:Azijn10|IIIB|exp:2|108d,IIIB,MT-4,2,NULL,NULL,True,=,108,day,False,Table 5
Azijn10,ivsel:Azijn10|IIIB|exp:2|122d,IIIB,MT-4,2,NULL,NULL,True,=,122,day,False,Table 5
Azijn10,ivsel:Azijn10|IIIB|exp:3|34d,IIIB,MT-4,3,NULL,NULL,True,=,34,day,False,Table 5
Azijn10,ivsel:Azijn10|IIIB|exp:3|59d,IIIB,MT-4,3,NULL,NULL,True,=,59,day,False,Table 5
Azijn10,ivsel:Azijn10|IIIB|exp:4|34d,IIIB,MT-4,4,NULL,NULL,True,=,34,day,False,Table 5
Azijn10,ivsel:Azijn10|IIIB|exp:4|62d,IIIB,MT-4,4,NULL,NULL,True,=,62,day,False,Table 5
Azijn10,ivsel:Azijn10|IIIB|exp:4|90d,IIIB,MT-4,4,NULL,NULL,True,=,90,day,False,Table 5
Azijn10,ivsel:Azijn10|IIIB|exp:5|32d,IIIB,MT-4,5,NULL,NULL,True,=,32,day,False,Table 5
Azijn10,ivsel:Azijn10|IIIB|exp:5|52d,IIIB,MT-4,5,NULL,NULL,True,=,52,day,False,Table 5
Azijn10,ivsel:Azijn10|IIIB|exp:5|70d,IIIB,MT-4,5,NULL,NULL,True,=,70,day,False,Table 5
Azijn10,ivsel:Azijn10|IIIB|exp:6|116d,IIIB,MT-4,6,NULL,NULL,True,=,116,day,False,Table 5
Azijn10,ivsel:Azijn10|v071130|exp:1|128d,v071130,MT-4,1,NULL,NULL,True,=,128,day,False,Table 5
Azijn10,ivsel:Azijn10|v071130|exp:1|276d,v071130,MT-4,1,NULL,NULL,True,=,276,day,False,Table 5
Azijn10,ivsel:Azijn10|v071038|exp:1|93d,v071038,MT-4,1,NULL,NULL,True,=,93,day,False,Table 5
Azijn10,ivsel:Azijn10|v071038|exp:1|139d,v071038,MT-4,1,NULL,NULL,True,=,139,day,False,Table 5
Azijn10,ivsel:Azijn10|v071038|exp:1|163d,v071038,MT-4,1,NULL,NULL,True,=,163,day,False,Table 5
Azijn10,ivsel:Azijn10|SM041|exp:1|90d,SM041,MT-4,1,NULL,NULL,True,=,90,day,False,Table 5
Azijn10,ivsel:Azijn10|SM041|exp:1|160d,SM041,MT-4,1,NULL,NULL,True,=,160,day,False,Table 5
Azijn10,ivsel:Azijn10|SM041|exp:1|212d,SM041,MT-4,1,NULL,NULL,True,=,212,day,False,Table 5
Azijn10,ivsel:Azijn10|SM051|exp:1|93d,SM051,MT-4,1,NULL,NULL,True,=,93,day,False,Table 5
Azijn10,ivsel:Azijn10|SM052|exp:1|118d,SM052,MT-4,1,NULL,NULL,True,=,118,day,False,Table 5
Azijn10,ivsel:Azijn10|SDM020001|exp:1|161d,SDM020001,MT-4,1,NULL,NULL,True,=,161,day,False,Table 5
Azijn10,ivsel:Azijn10|SDM020059|exp:1|171d,SDM020059,MT-4,1,NULL,NULL,True,=,171,day,False,Table 5
Azijn10,ivsel:Azijn10|r9602|exp:1|28d,r9602,MT-4,1,NULL,NULL,True,=,28,day,False,Table 5
Azijn10,ivsel:Azijn10|r9602|exp:1|52d,r9602,MT-4,1,NULL,NULL,True,=,52,day,False,Table 5
Azijn10,ivsel:Azijn10|r9602|exp:1|63d,r9602,MT-4,1,NULL,NULL,True,=,63,day,False,Table 5
Azijn10,ivsel:Azijn10|r9602|exp:2|74d,r9602,MT-4,2,NULL,NULL,True,=,74,day,False,Table 5
Azijn10,ivsel:Azijn10|r9602|exp:2|109d,r9602,MT-4,2,NULL,NULL,True,=,109,day,False,Table 5
