ref_name,isolate_name,baseline_isolate_name,cell_line,experiment,passage_cmp,passage,passage_unknown,cumulative_culture_time_cmp,cumulative_culture_time,cumulative_culture_time_unit,cumulative_culture_time_unknown,section
Maeda14,ivsel:Maeda14|Islatravir|exp:1|p15,pNL4-3,MT-4,1,=,15,False,NULL,NULL,NULL,True,"Fig 1, 2A"
Maeda14,ivsel:Maeda14|TDF|exp:1|p15,pNL4-3,MT-4,1,=,15,False,NULL,NULL,NULL,True,"Fig 1, 2A"
Maeda14,ivsel:Maeda14|Censavudine|exp:1|p15,pNL4-3,MT-4,1,=,15,False,NULL,NULL,NULL,True,"Fig 1, 2A"
Maeda14,ivsel:Maeda14|Islatravir|exp:1|p5,11MIX,MT-4,1,=,5,False,NULL,NULL,NULL,True,"Fig 1, 2A"
Maeda14,ivsel:Maeda14|Islatravir|exp:1|p10,11MIX,MT-4,1,=,10,False,NULL,NULL,NULL,True,"Fig 1, 2A"
Maeda14,ivsel:Maeda14|Islatravir|exp:1|p20,11MIX,MT-4,1,=,20,False,NULL,NULL,NULL,True,"Fig 1, 2A"
Maeda14,ivsel:Maeda14|Islatravir|exp:1|p25,11MIX,MT-4,1,=,25,False,NULL,NULL,NULL,True,"Fig 1, 2A"
Maeda14,ivsel:Maeda14|TDF|exp:1|p5,11MIX,MT-4,1,=,5,False,NULL,NULL,NULL,True,"Fig 1, 2A"
Maeda14,ivsel:Maeda14|TDF|exp:1|p10,11MIX,MT-4,1,=,10,False,NULL,NULL,NULL,True,"Fig 1, 2A"
Maeda14,ivsel:Maeda14|TDF|exp:1|p18,11MIX,MT-4,1,=,18,False,NULL,NULL,NULL,True,"Fig 1, 2A"
Maeda14,ivsel:Maeda14|TDF|exp:1|p22,11MIX,MT-4,1,=,22,False,NULL,NULL,NULL,True,"Fig 1, 2A"
Maeda14,ivsel:Maeda14|Censavudine|exp:1|p5,11MIX,MT-4,1,=,5,False,NULL,NULL,NULL,True,"Fig 1, 2A"
Maeda14,ivsel:Maeda14|Censavudine|exp:1|p10,11MIX,MT-4,1,=,10,False,NULL,NULL,NULL,True,"Fig 1, 2A"
