ref_name,isolate_name,baseline_isolate_name,cell_line,experiment,passage_cmp,passage,passage_unknown,cumulative_culture_time_cmp,cumulative_culture_time,cumulative_culture_time_unit,cumulative_culture_time_unknown,section
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:1a|p~8,NL4-3 (Q148K),MT-2,1a,~,8,False,=,28,day,False,Table 1
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:1a|p~12,NL4-3 (Q148K),MT-2,1a,~,12,False,=,42,day,False,Table 1
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:1a|p~16,NL4-3 (Q148K),MT-2,1a,~,16,False,=,56,day,False,Table 1
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:1b|p~4,NL4-3 (Q148K),MT-2,1b,~,4,False,=,14,day,False,Table 1
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:1b|p~8,NL4-3 (Q148K),MT-2,1b,~,8,False,=,28,day,False,Table 1
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:1b|p~12,NL4-3 (Q148K),MT-2,1b,~,12,False,=,42,day,False,Table 1
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:1b|p~16,NL4-3 (Q148K),MT-2,1b,~,16,False,=,56,day,False,Table 1
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2a|p~8,NL4-3 (Q148K),MT-2,2a,~,8,False,=,28,day,False,Table 1
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2a|p~12,NL4-3 (Q148K),MT-2,2a,~,12,False,=,42,day,False,Table 1
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2a|p~16,NL4-3 (Q148K),MT-2,2a,~,16,False,=,56,day,False,Table 1
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2b|p~4,NL4-3 (Q148K),MT-2,2b,~,4,False,=,14,day,False,Table 1
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2b|p~8,NL4-3 (Q148K),MT-2,2b,~,8,False,=,28,day,False,Table 1
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2b|p~12,NL4-3 (Q148K),MT-2,2b,~,12,False,=,42,day,False,Table 1
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2b|p~16,NL4-3 (Q148K),MT-2,2b,~,16,False,=,56,day,False,Table 1
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2c|p~4,NL4-3 (Q148K),MT-2,2c,~,4,False,=,14,day,False,Table 1
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2c|p~8,NL4-3 (Q148K),MT-2,2c,~,8,False,=,28,day,False,Table 1
Yoshinaga18,ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2c|p~12,NL4-3 (Q148K),MT-2,2c,~,12,False,=,42,day,False,Table 1
