ref_name,isolate_name,baseline_isolate_name,cell_line,experiment,passage_cmp,passage,passage_unknown,cumulative_culture_time_cmp,cumulative_culture_time,cumulative_culture_time_unit,cumulative_culture_time_unknown,section
Aoki18,ivsel:Aoki18|pNL4-3 (PR:V32I/L33F/I54M/I84V)|exp:1|p10,pNL4-3 (PR:V32I/L33F/I54M/I84V),MT-4,1,=,10,False,=,17,week,False,"Fig 1, 2A"
Aoki18,ivsel:Aoki18|pNL4-3 (PR:V32I/I54M)|exp:1|p5,pNL4-3 (PR:V32I/I54M),MT-4,1,=,5,False,=,5,week,False,"Fig 1, 2A"
Aoki18,ivsel:Aoki18|pNL4-3 (PR:V32I/I54M)|exp:1|p20,pNL4-3 (PR:V32I/I54M),MT-4,1,=,20,False,=,22,week,False,"Fig 1, 2A"
Aoki18,ivsel:Aoki18|pNL4-3 (PR:L33F/I84V)|exp:1|p21,pNL4-3 (PR:L33F/I84V),MT-4,1,=,21,False,=,26,week,False,"Fig 1, 2A"
Aoki18,ivsel:Aoki18|pNL4-3 (PR:I84V)|exp:1|p5,pNL4-3 (PR:I84V),MT-4,1,=,5,False,=,8,week,False,"Fig 1, 2A"
Aoki18,ivsel:Aoki18|pNL4-3 (PR:I84V)|exp:1|p10,pNL4-3 (PR:I84V),MT-4,1,=,10,False,=,17,week,False,"Fig 1, 2A"
Aoki18,ivsel:Aoki18|pNL4-3 (PR:I84V)|exp:1|p17,pNL4-3 (PR:I84V),MT-4,1,=,17,False,=,29,week,False,"Fig 1, 2A"
Aoki18,ivsel:Aoki18|pNL4-3 (PR:V32I)|exp:1|p5,pNL4-3 (PR:V32I),MT-4,1,=,5,False,=,7,week,False,"Fig 1, 2A"
Aoki18,ivsel:Aoki18|pNL4-3 (PR:V32I)|exp:1|p19,pNL4-3 (PR:V32I),MT-4,1,=,19,False,=,36,week,False,"Fig 1, 2A"
Aoki18,ivsel:Aoki18|pNL4-3 (PR:I54M)|exp:1|p5,pNL4-3 (PR:I54M),MT-4,1,=,5,False,=,7,week,False,"Fig 1, 2A"
Aoki18,ivsel:Aoki18|pNL4-3 (PR:I54M)|exp:1|p15,pNL4-3 (PR:I54M),MT-4,1,=,15,False,=,24,week,False,"Fig 1, 2A"
Aoki18,ivsel:Aoki18|pNL4-3 (PR:I54M)|exp:1|p22,pNL4-3 (PR:I54M),MT-4,1,=,22,False,=,36,week,False,"Fig 1, 2A"
Aoki18,ivsel:Aoki18|pNL4-3|exp:1|p30,pNL4-3,MT-4,1,=,30,False,=,50,week,False,"Fig 1, 2A"
Aoki18,ivsel:Aoki18|pNL4-3 (PR:L33F)|exp:1|p28,pNL4-3 (PR:L33F),MT-4,1,=,28,False,=,50,week,False,"Fig 1, 2A"
